"","word","n"
"1","kadın",179
"2","sürücü",108
"3","olay",61
"4","polis",59
"5","kaza",52
"6","araç",45
"7","trafik",43
"8","meydana",42
"9","gelen",37
"10","aracın",36
"11","plakalı",36
"12","üzerine",36
"13","ardından",35
"14","geldi",34
"15","sürücüsü",34
"16","sürücünün",33
"17","otomobil",30
"18","alkollü",28
"19","ekipleri",28
"20","aracı",25
"21","sağlık",24
"22","bulunan",23
"23","çarptı",23
"24","kullandığı",22
"25","edildi",20
"26","kadının",20
"27","saniye",20
"28","şekilde",20
"29","sırada",19
"30","süre",19
"31","kazada",18
"32","park",18
"33","2",17
"34","araca",17
"35","dedi",17
"36","direksiyon",17
"37","güvenlik",17
"38","reyhan",17
"39","ü",17
"40","üzerinde",17
"41","vatandaşlar",17
"42","başladı",16
"43","motosiklet",16
"44","anlar",15
"45","aracını",15
"46","çıkan",15
"47","çıktı",15
"48","devam",15
"49","hafif",15
"50","otomobilin",15
"51","ticari",15
"52","12",14
"53","ateş",14
"54","halindeki",14
"55","ilçesi",14
"56","seyir",14
"57","t",14
"58","yol",14
"59","emniyet",13
"60","istedi",13
"61","kazanın",13
"62","lastiklere",13
"63","sevk",13
"64","yerinden",13
"65","araçtan",12
"66","çalıştı",12
"67","e",12
"68","ezmeye",12
"69","hastaneye",12
"70","kalktı",12
"71","önüne",12
"72","sürücüsünün",12
"73","yaralanan",12
"74","yasemin",12
"75","34",11
"76","duru",11
"77","edinilen",11
"78","hakimiyetini",11
"79","ihlali",11
"80","kırmızı",11
"81","mahallesi",11
"82","of",11
"83","page",11
"84","saat",11
"85","ses",11
"86","sıralarında",11
"87","sonucu",11
"88","yola",11
"89","aracına",10
"90","arkadaşı",10
"91","arzu",10
"92","aydın",10
"93","aynur",10
"94","bilgiye",10
"95","caddesi",10
"96","çarpan",10
"97","çevredeki",10
"98","ceza",10
"99","ehliyetsiz",10
"100","emel",10
"101","gazetesi",10
"102","gören",10
"103","hasar",10
"104","i̇ddiaya",10
"105","istikametine",10
"106","kaldırıldı",10
"107","kaldırıma",10
"108","karşı",10
"109","önündeki",10
"110","otomobili",10
"111","seyreden",10
"112","şoka",10
"113","sürücüler",10
"114","uzun",10
"115","yapan",10
"116","yara",10
"117","zaman",10
"118","akça",9
"119","almadan",9
"120","an",9
"121","aracının",9
"122","bulvarı",9
"123","cep",9
"124","duvara",9
"125","erkek",9
"126","günü",9
"127","idaresindeki",9
"128","korna",9
"129","maddi",9
"130","nin",9
"131","olayın",9
"132","promil",9
"133","s.k",9
"134","şikayetçi",9
"135","sonrası",9
"136","trafikte",9
"137","vatandaşların",9
"138","yaşındaki",9
"139","5",8
"140","akat",8
"141","aracından",8
"142","arkadan",8
"143","bağlı",8
"144","boğuldu",8
"145","çarparak",8
"146","durdu",8
"147","ekibi",8
"148","erdem",8
"149","fren",8
"150","genç",8
"151","gözyaşlarına",8
"152","güçlükle",8
"153","hakaretler",8
"154","hareket",8
"155","içerisinde",8
"156","ışık",8
"157","kamerasına",8
"158","kaybetti",8
"159","kazadan",8
"160","kimliği",8
"161","osman",8
"162","s",8
"163","saatlerinde",8
"164","son",8
"165","sürücüyü",8
"166","telefonu",8
"167","yansıdı",8
"168","yaya",8
"169","ambulansla",7
"170","araçta",7
"171","büyük",7
"172","caddesi’nde",7
"173","can",7
"174","eseri",7
"175","gaza",7
"176","geçen",7
"177","görüntülendi",7
"178","gözaltına",7
"179","haber",7
"180","hala",7
"181","hayatını",7
"182","inerek",7
"183","istikametinden",7
"184","kaldırımda",7
"185","kameralarına",7
"186","kavga",7
"187","kazayla",7
"188","kemeri",7
"189","kısa",7
"190","küfürler",7
"191","oğlu",7
"192","raporu",7
"193","saç",7
"194","sakinleştirildi",7
"195","saldırdı",7
"196","şans",7
"197","şehir",7
"198","söyledi",7
"199","sürücülerin",7
"200","sürücüye",7
"201","sürükledi",7
"202","takip",7
"203","taraftan",7
"204","tespit",7
"205","yaklaşık",7
"206","yanında",7
"207","yaralandığını",7
"208","07",6
"209","112",6
"210","16",6
"211","3",6
"212","35",6
"213","4",6
"214","ahmet",6
"215","ajansı",6
"216","alan",6
"217","alınan",6
"218","alkolmetreyi",6
"219","anbean",6
"220","anne",6
"221","arabaya",6
"222","aracıyla",6
"223","arasında",6
"224","aşağı",6
"225","binip",6
"226","çarptığı",6
"227","cezası",6
"228","darp",6
"229","demokrasi",6
"230","ekiplerine",6
"231","ekiplerinin",6
"232","el",6
"233","eşi",6
"234","etkisiyle",6
"235","gelip",6
"236","girdi",6
"237","gümüş",6
"238","gümüş'ün",6
"239","halinde",6
"240","hamile",6
"241","hızla",6
"242","i̇hbar",6
"243","indi",6
"244","isimli",6
"245","i̇stanbul",6
"246","i̇zmit",6
"247","kurt",6
"248","lira",6
"249","merkezi",6
"250","metre",6
"251","oluştu",6
"252","öte",6
"253","otomobiliyle",6
"254","para",6
"255","şoförü",6
"256","şok",6
"257","sokağa",6
"258","şokunu",6
"259","şüpheli",6
"260","sürücüden",6
"261","tehlikeli",6
"262","tepki",6
"263","ümmühan",6
"264","uygulama",6
"265","üzerinden",6
"266","vurdu",6
"267","yandan",6
"268","yaptıktan",6
"269","yaşandı",6
"270","yerinde",6
"271","yoğun",6
"272","28",5
"273","50",5
"274","68",5
"275","ağza",5
"276","akşam",5
"277","aldı",5
"278","alınmayacak",5
"279","anda",5
"280","aniden",5
"281","anları",5
"282","antalya'da",5
"283","araçlarda",5
"284","araçların",5
"285","arkasında",5
"286","aybüke",5
"287","aynı",5
"288","baş",5
"289","basınca",5
"290","başlattı",5
"291","belirsiz",5
"292","çalarak",5
"293","çarpıştı",5
"294","çarpıştığı",5
